age,gender,height_cm,weight_kg,activity_type,duration_minutes,intensity,calories_burned,avg_heart_rate,hours_sleep,stress_level,daily_steps,hydration_level,bmi,fitness_level
56,F,160.4,83.8,Basketball,105,High,27.3,140,5.8,9,10198,2.2,23.8,7.28
24,F,161.0,66.5,Tennis,75,Medium,12.1,139,7.7,8,9968,2.0,17.4,6.91
43,F,162.3,79.0,Yoga,31,Medium,2.4,118,7.5,3,5795,3.2,18.3,10.17
56,M,164.9,103.3,Walking,70,Medium,9.1,106,7.1,2,10173,2.8,25.1,11.4
62,M,186.8,127.2,Swimming,72,Medium,21.3,111,6.1,1,8240,3.4,31.1,5.98
23,Other,172.0,100.5,Basketball,30,Medium,8.0,149,8.2,1,8080,2.3,21.3,12.0
49,F,155.3,84.3,Weight Training,109,Medium,18.3,121,7.2,7,6540,1.9,18.7,12.42
24,F,153.1,99.0,Walking,70,Medium,8.8,154,6.9,4,6053,1.7,19.2,18.04
44,M,187.0,110.5,Weight Training,62,Medium,13.7,148,5.1,8,8146,3.2,29.8,1.8
27,F,168.4,102.4,Tennis,59,Low,12.2,117,7.7,9,5324,3.4,19.4,15.53
33,F,160.2,115.7,HIIT,95,Medium,43.9,130,8.2,7,9486,1.6,25.1,16.27
44,F,151.3,69.3,Tennis,111,Low,15.5,115,5.6,7,11324,2.1,19.6,8.24
59,M,172.5,74.1,Tennis,43,Low,6.4,95,6.4,10,9423,1.7,24.2,0.59
37,F,159.4,87.2,Weight Training,70,Low,10.1,120,8.6,9,9374,1.7,20.8,11.59
38,F,168.6,103.4,Yoga,116,Medium,12.0,136,8.3,1,5057,2.8,18.7,16.67
19,M,175.3,105.7,Cycling,24,Medium,7.2,153,8.0,8,8885,2.6,16.3,17.59
18,M,191.7,115.7,Running,20,Low,6.3,126,5.6,6,7986,3.4,21.4,11.6
48,F,156.2,84.2,Running,92,Medium,25.2,131,6.1,4,7085,1.6,20.4,11.39
57,M,160.2,76.8,Tennis,68,Medium,12.7,133,6.6,4,12658,3.3,24.8,4.38
39,F,176.5,116.1,Cycling,60,Low,16.4,121,6.3,2,9371,2.3,20.6,16.2
53,F,164.9,87.5,Walking,116,Low,10.7,109,7.5,1,12327,3.2,23.0,8.03
62,M,176.8,79.1,Dancing,63,Low,7.6,103,6.8,8,10055,1.7,19.0,6.34
36,F,161.8,79.6,Yoga,40,High,3.7,155,6.9,7,9336,2.3,17.2,11.42
57,F,168.8,108.6,Running,70,Medium,24.8,112,8.0,4,5970,1.8,19.0,18.5
25,M,185.7,116.0,HIIT,70,Low,27.0,132,6.6,3,8979,2.2,24.1,10.94
55,F,157.9,54.2,Swimming,56,Low,5.9,111,6.2,8,8055,2.5,21.2,0.43
18,F,149.1,88.2,HIIT,62,High,25.4,166,7.0,3,7376,2.1,20.2,13.79
46,M,163.4,76.6,Weight Training,101,Medium,15.4,151,7.4,7,9130,1.5,18.7,9.18
57,F,169.0,61.3,Running,98,High,22.8,152,6.7,8,8550,3.3,21.0,0.44
41,M,181.6,111.9,Walking,73,Medium,10.3,137,7.7,7,7863,2.4,22.7,11.93
59,M,171.4,106.6,Running,65,Medium,22.6,117,5.5,10,8389,2.0,21.4,14.39
54,M,182.2,125.3,Basketball,102,High,39.7,132,6.0,2,8500,1.8,26.8,11.91
20,M,185.8,74.5,Walking,113,Medium,10.6,146,7.8,9,8183,2.4,20.2,1.73
43,F,159.5,70.7,Tennis,62,Medium,10.6,134,9.0,6,8782,2.7,17.8,8.56
34,M,162.8,62.9,Basketball,83,High,16.2,167,8.1,3,11627,2.8,18.9,4.43
39,F,157.8,66.1,HIIT,36,High,11.1,153,6.3,4,8311,2.5,22.9,2.83
51,M,177.0,107.8,Tennis,42,Medium,11.0,125,7.7,3,8944,3.3,33.9,0.61
44,F,160.8,60.3,Dancing,27,High,3.5,134,6.8,1,7989,2.9,21.8,1.05
31,M,166.7,131.8,Swimming,81,Low,20.7,119,8.1,8,7230,3.1,31.2,14.29
27,F,164.4,102.6,Weight Training,92,Medium,18.8,166,7.1,6,6898,1.6,20.6,15.37
49,M,165.5,100.6,Basketball,45,High,14.0,141,8.3,7,5711,3.2,20.8,14.01
64,F,174.1,108.6,Dancing,66,Low,10.9,103,6.6,2,6005,2.8,19.2,15.14
62,F,152.5,97.8,Tennis,38,Low,7.5,97,6.3,4,7576,2.8,19.9,16.34
41,M,170.8,83.2,HIIT,84,High,32.5,173,5.8,7,10894,2.9,20.6,7.3
23,F,161.1,86.7,Tennis,33,Medium,6.9,161,8.2,7,8497,3.2,24.4,7.58
41,M,176.3,96.3,Swimming,44,Medium,9.9,119,6.9,7,6485,2.5,30.0,1.04
43,M,164.5,102.3,Weight Training,87,Medium,17.7,135,6.8,2,5916,2.4,25.7,10.35
29,M,178.1,115.7,HIIT,117,Low,45.0,130,7.4,8,8180,2.1,22.4,14.04
44,M,168.7,99.5,HIIT,41,Medium,16.3,134,6.9,1,11731,2.7,26.4,8.26
37,F,163.5,93.4,Weight Training,87,Medium,16.2,131,5.8,4,9263,1.8,27.3,6.28
58,F,164.2,48.4,Dancing,101,Medium,8.9,121,6.7,7,7305,3.3,17.3,0.62
52,F,161.9,61.3,HIIT,88,Medium,21.5,120,6.9,8,9435,2.3,17.2,4.89
44,F,152.7,83.9,Basketball,47,Medium,10.5,146,6.5,5,9724,2.1,23.4,9.07
47,F,162.2,107.5,Cycling,103,Low,26.1,108,7.5,10,6602,1.7,22.6,15.11
50,F,171.2,107.5,HIIT,85,Low,30.4,119,5.3,7,9074,2.0,28.9,6.79
39,M,176.9,78.2,Walking,78,Low,6.4,114,7.1,7,13167,1.6,24.0,0.99
36,M,177.7,92.6,Swimming,104,Low,18.7,112,7.4,2,8289,3.5,21.2,7.92
46,M,172.5,138.2,Tennis,108,Low,30.2,113,8.0,6,6952,2.2,28.6,17.32
37,F,165.8,104.9,Swimming,75,Medium,18.3,145,7.8,1,8234,2.6,20.1,15.11
39,M,162.3,91.0,Running,88,Medium,26.1,136,6.4,1,5706,1.8,20.1,12.64
46,F,163.2,107.9,Cycling,113,Medium,34.5,123,8.8,3,4135,2.3,23.5,13.89
43,M,174.9,97.0,Cycling,102,High,32.6,154,6.8,6,10653,2.1,26.5,4.51
34,F,154.2,71.9,Cycling,46,Medium,9.3,129,7.8,4,9798,3.4,18.9,8.83
47,M,181.6,72.8,Cycling,105,Medium,21.6,132,6.8,3,5430,3.5,21.2,0.78
32,F,152.1,51.0,HIIT,38,Low,6.4,124,5.9,3,7283,1.6,19.5,1.97
31,M,166.6,128.1,HIIT,113,Low,48.2,115,6.9,9,7895,1.7,26.8,17.28
42,F,167.2,109.4,Walking,117,Medium,16.2,143,8.4,4,8310,2.3,26.6,10.99
34,M,172.9,117.5,Running,27,Medium,10.3,147,8.2,6,10592,2.5,27.2,11.47
40,M,169.1,63.7,Yoga,118,Medium,7.5,129,7.0,5,9033,2.2,21.1,1.35
46,M,190.1,137.6,Cycling,46,Medium,17.9,127,7.1,4,5906,2.6,28.2,11.82
47,F,161.2,77.7,Weight Training,70,Medium,10.8,137,5.6,3,9958,1.9,25.3,4.04
48,F,180.2,114.9,Dancing,104,High,25.5,135,8.0,6,7713,2.1,23.8,12.89
60,M,178.8,95.9,Walking,105,Medium,12.7,133,7.0,2,10231,2.6,24.4,5.47
49,F,169.2,106.1,Dancing,69,High,15.6,156,5.7,3,3549,3.4,21.6,14.27
63,M,178.2,78.2,Running,78,Medium,19.9,117,6.8,9,9831,2.3,21.5,3.37
39,M,175.6,131.7,HIIT,53,Medium,27.9,138,6.7,2,8428,2.5,29.1,13.66
61,M,159.6,101.3,HIIT,84,High,39.6,124,6.1,2,6566,1.7,22.1,14.04
59,M,173.9,105.0,Running,115,Medium,39.4,119,6.5,3,12045,3.2,27.0,7.34
38,F,168.0,96.7,Weight Training,64,Medium,12.3,146,7.4,2,6249,3.4,22.9,10.28
50,M,156.3,103.5,HIIT,80,Medium,33.0,136,7.5,3,9608,2.5,20.5,16.85
34,F,164.8,49.1,Weight Training,109,Low,8.9,118,8.5,2,7811,2.5,16.6,1.21
62,M,176.7,112.2,Swimming,21,Low,4.6,108,5.9,7,9600,3.3,29.3,6.4
50,F,165.4,88.3,Weight Training,100,Low,14.7,122,6.2,8,11716,3.1,21.7,10.0
44,M,178.8,90.8,Swimming,34,Medium,7.2,121,6.6,8,9712,1.6,17.2,11.29
44,M,175.5,70.1,Swimming,98,Low,13.3,119,6.3,3,10246,2.8,21.3,1.34
28,F,158.8,80.7,Cycling,104,Low,19.8,126,6.6,3,8372,3.4,21.8,8.38
60,M,160.2,73.8,Yoga,22,High,1.9,124,8.6,10,7208,3.2,22.5,5.03
31,F,155.3,50.7,Cycling,116,Low,13.8,122,8.2,3,9268,2.3,18.7,2.09
38,M,184.6,140.3,Dancing,65,Medium,16.7,137,7.2,8,3380,3.2,29.0,12.99
35,M,178.2,121.9,Basketball,63,Medium,20.4,136,7.2,4,9914,3.0,27.6,11.26
62,Other,181.7,88.4,Tennis,72,Low,12.9,112,6.6,5,7452,2.0,20.3,6.3
45,M,178.5,102.6,Swimming,97,Low,19.3,117,6.3,4,7908,1.8,23.7,8.93
50,F,161.5,117.2,Swimming,109,High,34.7,142,6.6,8,7116,2.7,24.4,16.56
37,F,165.5,113.2,Yoga,24,Low,2.3,115,6.8,6,6723,2.4,24.5,14.21
23,M,183.1,99.8,HIIT,82,Medium,32.7,146,6.7,8,10744,2.7,20.1,10.42
60,F,170.5,118.6,Cycling,87,Medium,29.2,117,7.8,1,4361,2.7,22.3,16.49
61,M,177.3,91.4,Cycling,106,Medium,27.4,115,7.9,4,7384,1.6,22.4,7.07
23,F,159.5,76.8,Cycling,55,Medium,11.9,130,6.6,6,11589,2.4,18.1,8.92
57,F,160.0,88.9,Walking,32,Medium,3.6,122,7.7,9,10480,2.6,26.2,6.76
60,F,163.2,100.2,Dancing,99,Medium,18.1,115,6.6,2,9939,2.8,27.8,8.6
63,M,182.3,140.0,HIIT,45,Medium,25.1,105,5.1,3,6563,1.7,24.5,18.51
46,M,172.3,102.0,Tennis,91,Medium,22.5,122,5.8,7,9280,2.9,30.5,3.79
48,F,174.1,108.8,Basketball,88,Low,21.2,117,7.3,10,5238,2.4,19.6,15.8
20,F,169.4,111.4,Walking,40,High,6.6,157,6.3,8,8112,3.1,24.0,12.32
54,M,184.6,110.3,Swimming,60,Low,12.8,112,7.0,5,10999,2.5,23.8,9.48
35,M,169.7,92.0,Running,105,Medium,31.5,150,7.4,7,8755,3.0,27.5,4.08
54,M,175.9,134.3,Dancing,109,High,31.3,137,6.1,2,4968,3.2,29.7,14.06
39,F,161.5,112.7,HIIT,44,Medium,19.8,128,6.4,7,5824,3.1,22.7,16.91
60,M,177.0,130.6,Tennis,28,High,10.4,122,5.6,5,7830,2.1,31.0,10.47
23,M,171.3,96.9,Dancing,109,Low,16.1,122,7.9,5,7506,1.7,20.0,11.91
24,F,162.9,111.8,Tennis,72,High,22.8,182,5.8,6,9701,3.4,21.0,17.51
57,F,164.2,89.7,Weight Training,115,Medium,20.6,115,6.4,1,11477,2.6,20.5,11.35
46,F,165.3,108.3,Swimming,108,Low,22.7,119,7.3,5,5698,1.8,22.6,15.45
34,F,166.5,93.2,Walking,34,Medium,4.0,141,6.9,7,12425,2.6,22.6,9.66
50,F,159.2,99.9,Walking,109,Low,11.5,123,7.8,10,6457,3.0,24.5,11.98
60,F,163.2,95.3,Yoga,112,Medium,10.6,130,7.4,9,11337,2.1,27.8,7.23
60,Other,164.5,65.6,HIIT,55,High,16.8,138,7.6,5,9730,3.2,23.2,0.89
22,M,174.2,108.2,Running,93,High,38.3,166,5.7,2,10271,2.5,21.3,13.97
34,F,172.8,90.5,Walking,100,Medium,11.4,150,7.8,3,9176,1.7,26.8,3.61
30,F,168.6,68.4,Swimming,113,High,21.0,168,9.8,5,8766,3.1,18.4,4.94
54,F,167.4,81.7,HIIT,48,Medium,15.6,129,8.0,4,8075,2.4,23.8,5.03
34,F,157.4,68.3,Running,105,Low,19.4,120,6.0,5,9394,3.3,18.2,7.59
44,F,163.8,84.0,Yoga,65,Low,4.5,113,7.1,10,8476,2.0,16.8,12.43
63,F,161.5,81.2,Cycling,77,Medium,17.7,119,8.1,1,11604,1.9,19.1,10.81
45,F,166.5,107.7,Swimming,73,Low,15.2,110,7.5,2,5364,1.9,22.0,15.01
28,F,159.4,66.5,Yoga,52,Medium,3.4,149,7.0,3,9605,2.2,17.7,6.45
51,F,170.6,83.5,Dancing,55,Medium,8.4,120,5.5,3,12547,1.8,20.7,7.12
36,F,155.0,54.6,HIIT,107,Medium,23.2,140,8.4,4,7530,2.9,19.8,2.24
21,Other,174.2,67.5,Weight Training,80,Medium,10.8,138,6.5,3,7993,2.3,20.8,1.49
30,F,162.0,68.7,Walking,94,Medium,8.2,132,6.8,1,11648,1.9,17.3,6.94
46,M,173.2,116.9,Weight Training,75,High,20.4,140,6.4,6,7993,3.3,21.5,16.82
56,M,189.0,80.5,Running,33,High,10.1,128,7.9,5,9251,3.1,21.2,1.29
23,M,176.3,105.2,HIIT,25,High,12.2,158,8.1,4,5870,3.4,23.7,10.05
34,F,173.8,81.3,HIIT,37,Medium,12.0,133,7.7,8,10925,2.1,18.2,7.85
33,M,171.5,122.6,Swimming,68,Medium,19.4,147,6.5,7,6194,2.5,23.5,17.77
30,F,176.8,73.2,Running,62,Medium,14.8,138,6.0,8,10571,1.6,19.9,3.42
56,M,169.4,67.3,Basketball,57,Medium,10.2,131,6.4,6,10970,3.0,21.4,1.79
53,F,162.4,87.7,Weight Training,63,Medium,11.0,123,8.6,4,8744,2.1,20.3,10.72
24,M,177.3,96.8,Walking,80,High,11.4,150,7.0,6,6704,2.5,21.2,9.7
29,M,177.3,119.6,Basketball,109,Medium,34.7,140,9.1,8,7825,2.9,25.3,12.79
37,F,165.8,78.9,Yoga,118,Medium,9.3,147,8.0,3,8013,3.4,20.1,7.03
50,F,167.2,74.6,Cycling,45,Medium,9.5,118,5.4,10,8384,3.1,17.8,7.88
52,Other,176.9,133.6,Tennis,88,Medium,28.5,121,7.8,2,6897,3.1,27.2,16.09
50,F,158.8,59.5,Basketball,97,Low,12.8,113,6.7,2,9504,3.2,23.0,0.57
52,F,158.4,108.8,Running,83,Low,24.5,112,6.7,9,7648,3.5,23.5,15.62
47,F,170.2,125.3,Walking,32,Low,4.2,110,7.1,10,6698,3.4,24.3,17.92
52,M,171.6,66.3,HIIT,111,Medium,29.3,125,6.4,8,9695,1.8,18.2,4.25
27,F,166.9,105.1,Cycling,54,Medium,16.0,146,6.9,5,6332,2.2,20.8,14.94
29,F,156.4,67.4,Weight Training,80,High,12.5,158,6.8,5,9954,2.9,20.5,5.93
49,M,185.1,142.0,Basketball,78,Medium,29.5,135,7.7,9,5808,3.3,26.4,17.42
57,M,180.7,134.6,Yoga,22,Medium,3.0,115,7.9,4,8938,2.5,31.6,10.31
28,M,171.1,113.0,Running,70,Medium,25.8,141,6.5,3,7138,2.9,27.9,9.98
43,F,157.1,101.3,Yoga,97,Medium,9.8,150,5.6,8,6745,2.7,19.1,17.99
38,Other,163.7,68.1,Yoga,37,Medium,2.5,136,7.5,9,9926,2.4,20.2,4.19
57,Other,161.7,101.9,Weight Training,110,Medium,22.4,123,5.2,6,5066,1.9,22.9,14.21
64,F,152.5,54.6,Weight Training,120,Medium,13.0,123,8.2,2,6691,3.2,19.3,2.69
26,F,162.8,65.5,Dancing,105,Low,10.5,130,7.2,6,6720,2.3,21.6,2.59
29,F,156.4,57.4,Basketball,105,High,18.7,157,7.5,3,6881,2.6,20.5,2.55
45,M,181.6,101.7,HIIT,57,Medium,23.1,129,6.8,3,8032,2.9,21.4,10.22
20,Other,174.0,120.2,Swimming,44,Medium,12.3,159,6.7,1,6168,1.6,25.1,13.7
56,F,157.5,86.1,Swimming,81,High,18.9,131,7.1,8,9123,1.7,18.1,13.13
30,F,162.0,110.3,Dancing,46,Low,7.7,120,6.9,5,6572,2.2,22.5,16.44
57,M,181.2,109.7,Weight Training,104,Medium,22.8,118,7.1,2,10567,2.1,21.9,12.18
42,M,178.0,107.1,HIIT,54,Low,19.2,114,6.1,2,10165,2.7,28.8,4.66
55,M,182.8,159.6,Yoga,46,Medium,7.3,121,6.3,10,11566,1.7,30.0,20.24
42,F,158.1,86.0,Tennis,109,Low,18.9,112,9.2,3,13341,2.3,24.6,8.23
39,F,162.1,70.3,Weight Training,26,Medium,3.6,129,7.6,10,9161,2.3,18.2,7.02
39,M,169.2,66.8,Swimming,56,Medium,8.7,143,8.4,1,9520,2.4,22.9,0.35
52,F,167.5,109.7,Dancing,59,High,13.8,145,7.4,5,7285,2.1,20.4,16.45
25,F,175.4,84.8,Swimming,35,Medium,6.9,155,7.6,8,11479,2.2,21.9,5.34
42,M,186.2,87.8,Walking,27,Low,2.5,112,8.9,1,13255,2.7,21.2,4.62
22,M,183.7,118.9,Swimming,83,Medium,23.0,131,7.3,10,10541,1.6,32.2,3.6
38,F,163.9,85.7,Weight Training,114,Medium,19.5,129,6.4,10,11572,3.4,23.7,7.02
32,F,162.0,62.9,Swimming,58,Medium,8.5,144,5.8,6,9384,2.4,20.7,2.82
64,Other,167.0,69.3,Weight Training,52,Medium,7.2,117,8.2,5,10896,2.1,18.6,5.58
37,F,160.1,54.1,Dancing,50,High,5.8,166,7.5,2,8049,2.9,18.9,1.41
44,F,166.3,92.1,Tennis,72,Low,13.4,117,7.1,4,5562,2.4,19.7,12.4
48,M,171.8,120.6,Dancing,115,Medium,25.4,130,6.9,4,8203,1.5,21.8,17.48
55,M,178.7,120.2,Basketball,120,Medium,38.4,128,8.1,3,9820,1.5,22.6,15.63
44,M,170.9,103.7,Tennis,42,Medium,10.6,109,7.0,7,7001,1.8,17.1,17.29
26,M,181.9,139.1,Yoga,20,Low,2.3,126,6.5,3,7969,2.2,25.7,17.64
61,M,182.4,144.6,Yoga,103,Medium,14.9,107,7.5,2,7815,2.3,27.4,17.37
30,M,178.9,99.0,HIIT,99,Medium,39.1,145,4.6,6,7712,2.9,25.9,5.23
33,M,167.4,97.4,Walking,67,Low,6.9,121,6.6,5,12284,2.3,26.8,6.46
56,F,167.0,110.9,Cycling,117,Medium,36.7,107,7.6,6,6723,3.1,20.2,17.84
33,F,164.0,113.5,Running,99,Low,30.5,124,6.6,5,7532,1.6,21.5,16.94
56,F,167.0,80.5,Dancing,109,High,18.7,130,8.0,10,7539,3.4,20.2,7.89
28,F,153.8,79.1,Dancing,45,Medium,6.5,145,7.7,6,7843,2.2,19.0,11.53
48,M,182.2,95.3,Yoga,43,Low,3.4,107,5.4,5,8263,2.3,21.9,7.53
18,M,175.4,119.0,Yoga,88,Low,8.7,143,6.4,3,6319,2.9,24.7,13.78
40,M,177.5,113.6,Basketball,42,Medium,12.7,117,6.4,2,6368,3.2,21.2,15.03
26,F,162.8,83.6,HIIT,38,Low,10.6,117,7.7,5,10496,3.3,21.6,8.35
45,M,166.4,133.6,Running,73,High,37.1,132,7.1,1,7326,3.0,28.4,17.96
47,M,172.6,116.9,Cycling,29,High,11.2,146,7.7,2,6756,2.5,22.6,16.04
39,F,176.5,80.2,Walking,75,Medium,7.6,128,7.7,6,10106,1.6,20.6,5.17
55,F,163.9,84.2,Tennis,65,Medium,13.3,139,9.0,5,11187,2.5,27.0,3.96
28,M,179.4,108.9,Dancing,30,Low,5.0,127,7.4,4,7607,3.2,18.0,15.16
53,M,190.6,132.7,Tennis,25,Medium,8.1,125,9.0,8,7137,2.4,20.5,18.98
21,M,184.6,77.0,HIIT,29,Medium,8.9,144,7.1,5,9065,3.1,21.9,0.81
35,F,155.2,82.2,Cycling,43,Low,8.3,123,5.8,5,11016,1.9,20.2,9.89
20,F,171.6,108.3,Cycling,40,Medium,12.2,158,8.2,1,5823,2.0,25.6,9.89
57,Other,163.5,112.6,Walking,43,High,7.1,135,7.3,5,9269,3.0,22.3,16.64
47,F,168.5,91.9,Cycling,31,High,9.4,158,7.1,7,8981,2.5,25.0,6.84
56,F,157.5,91.2,Walking,105,Low,10.1,117,7.6,8,9449,1.9,18.1,14.75
21,F,168.6,59.3,HIIT,75,Medium,17.7,163,6.7,1,8178,3.2,19.2,1.55
